ID,name,lyrics
1,あー夏休み,湘南で見た葦簾よしずの君は 誰かれ振り向く切れ込み 夏の少女一度お願いしたいね 連発する渚のオオカミ  防波堤腰掛けて灼けば鳴く蝉 熱冷めやらぬ二人 飛び込む水の音  夢とちゃうのかい こんな出逢いは 夏の数だけ恋したけど 抱いたっていいんじゃない 焦げた素肌を あ夏休み チョイト泳ぎ疲れ胸に  夜は夜そうね浴衣に花火 瞳読み切れないこれじゃ 影が揺れてそっとうなずいたみたい 光るルジュ濡れてふるえるよ  砂に埋めた涙忘れてもいいね ためらいは蚊帳の外 鈴虫も泣くよ  だって恋みたい 指がせつない 砂の数ほど愛したいけど  泣いたっていいんじゃない 粋な別れに あ夏休み チョイト終わらないでもっとまだまだ  夢とちゃうのかい こんな出逢いは 夏の数だけ恋したけど 抱いたっていいんじゃない 焦げた素肌を あ夏休み チョイト泳ぎ疲れ胸に  だって恋みたい 指がせつない 砂の数ほど愛したいけど  泣いたっていいんじゃない 粋な別れに あ夏休み チョイト終わらないでもっとまだまだ 
2,Urban Dance,シャワは 誘惑にぬれて 素肌をおちる 幾つかのフィクション  摩天楼 ノイズに消されて 俺達の愛さえも すれすれのだね     ときめきの色をぬり変えたベゼ シルクの波にすべり込んだ  摩天楼 夜にまぎれて 俺達のシュルダンス 恋に恋したままで     摩天楼 ノイズに消されて 俺達の生きざまも 気のきいただね    
3,ああ、いい女,傘の要らない恋雨が 胸をつきさす朝の駅 手枕ゆえに乱れた髪は 櫛を入れずにとっときますと 泣いて微笑った襟元が 少しくずれたくずれたああいい女  惚れて女の花を知り 好いて男の雪を知る 抱かれていても季節がずれる 肌の痛みをお酒にまぜて 呑めずこぼしたしみ跡が 少しよごれたよごれたああいい女  汽車は別れを告げたのに 愛はこれから始発駅 このままひとり帰したならば 他の男にだまされそうな うしろ姿で悩ませる 少しみだれたみだれたああいい女  
4,ああ上野駅,どこかに故郷の香をのせて 入る列車のなつかしさ 上野は俺らの心の駅だ くじけちゃならない人生が あの日ここから始まった  父ちゃん僕がいなくなったんで 母ちゃんの畑仕事も大変だろうな 今度の休みには必ず帰るから そのときは父ちゃんの肩も母ちゃんの肩も もういやだっていうまで叩いてやるぞ それまで元気で待っていてくれよな  就職列車にゆられて着いた 遠いあの夜を思い出す 上野は俺らの心の駅だ 配達帰りの自転車を とめて聞いてる国なまり  ホムの時計を見つめていたら 母の笑顔になってきた 上野は俺らの心の駅だ お店の仕事は辛いけど 胸にゃでっかい夢がある 
5,ああ、グッと,風かバタバタ鳴っている街のはずれのちょうちんで おれとお前はまん中にボトルを置いて酒を飲む あぁグッとグッと飲もうぜのんだくれ 夢しか知らないろくでなし あぁグッとグッと飲もうぜ夜明けまで 夢のラッパを吹き鳴らせ  恋は破れて傷になる人とぶつかり人を知る そんな時代を通り過ぎ男はやさしくなるんだろ あぁグッとグッと飲もうぜのんだくれ 親の意見も聞かないで あぁグッとグッと飲もうぜ生きてきた だれに説教のガラじゃない  たとえば海が酒ならばお前は魚になるという おれは渚の貝になる波が来るたび酒を飲む あぁグッとグッと飲もうぜのんだくれ それじゃまたなと手を握るが あぁキッとキッと飲もうぜまたここで 勝手気ままの旗たてて あぁグッとグッと飲もうぜ夜明けまで 夢のラッパを吹き鳴らせ  
6,あゝ万次郎,怒涛逆巻く足摺岬 海で育ったいごっそう 父は亡くとも泣くもんか 負けるもんかの男の気概 土佐は清水の快男子 あ中の浜万次郎  流れ流され南海孤島 耐えて忍んだど根性 着いた港はフェアヘブン ジョンと呼ばれてアメリカ生活 越えて七つの海を行く あ中の浜万次郎  目には手ぬぐい押しあてながら 逢えて嬉しと泣いた母 十と一年十ヶ月 苦労かけたとお袋さんに 詫びる男の目に涙 あ中の浜万次郎 
7,あゝ無情,きれいでしょヒラヒラと いい女でしょ 見かけより尽くすタイプね 優しさに棹さして男はずるいわ 逃げてゆく夜が明ける頃  涙は塩っぱすぎるし 焼きもちは汚い好きにさせてよ  サングラス外したら吹きだしちゃうほど あどけない目をしてるあいつに弱いの 裏切りは直らない手錠をかけても 甘え上手にトドメ刺されて 街に霧が降る  ねえわたし素敵でしょ ケバさがいいでしょ 悪いけど良くモテてます あの人を捜しても 見えない夜更けは 思いきりおしゃれに酔うの  他の誰かにも貴方 同じコトするのね虚しすぎるわ  くちびるが悲しみにつまづくたんびに 強がりが出ちゃうけど本気じゃないのよ 貴方しか欲しくない年先まで 本音をいえば結婚したい まさか愛してる  サングラス外したら吹きだしちゃうほど あどけない目をしてるあいつに弱いの 裏切りは直らない手錠をかけても 甘え上手にトドメ刺されて 街に霧が降る 
8,夫婦酒,さんざ苦労の三三九度で とんだ茨の夫婦みち そうよこんなに痩せたのも みんなあなたのせいなのよ エ悪うござんすね エ惚れた弱みの夫婦酒で おまえとあなたと さしつさされつ飲みますか  器量気だてに文句はないが かたい財布が珠に傷 ヒモをゆるめりゃ凧のよに どこへゆくやらわからない エいやなおんなだね エ俺の最後のおんなと言って おまえとあなたと へらず口でも飲みますか  あの手この手で山坂越えて やっと四十路で陽がさした 春がきたってもう遅い 娘ざかりを返してよ エ感謝してますよ エ惚れてつくして死ぬまで一緒 おまえとあなたと さしつさされつ飲みますか 
9,I WILL,素直に言って私の目を見つめて ああ不安な夜にあなたを本当に守れた  抱きしめても何てはかないの愛は哀しく青く消えゆく このぬくもりこの信じたもの永遠に見えたあの日  もう一度言って静かに目を閉じたら ああ優しく光る春の日君にまた逢いたい  抱きよせても何てはかないの愛は哀しく弱く消えゆく このぬくもりこの手を離れてたそがれの空へ向かう  このぬくもり二度と帰らないたそがれの空へ向かう 
10,I Will Wait For You,途切れた言葉探す横顔の ぬぐえない哀しみは せつない程遠く あの頃仲間達と踊っていた 店さえもビルに押され 消えてゆくけど  つのる想い今も ひたむきな瞳がいつも胸を暖めるから 打ち明けてみなよ涙をふいて 逆らうような行き方選ぶたび 変わらない微笑みに勇気づけられた  君は孤独じゃない くじけそうな夜にもきっと朝が訪れるから 気付かなくてもいい愛していると        気付かなくてもいい愛していると  
